"tick","Min Size","Max Size","Mean Size"
81.0,2.3550000000000004,4.0,3.4642811501597452
82.0,2.9750000000000014,5.0,4.417290209790208
83.0,4.000000000000003,6.0,5.370658436213988
84.0,4.830000000000004,7.0,6.352591324200914
85.0,5.582500000000001,8.0,7.357682291666662
86.0,6.282500000000002,9.0,8.319491017964069
87.0,0.0,9.999999999999998,2.406868351063829
88.0,0.0,9.999999999999998,1.5526438492063501
89.0,0.0,9.880000000000004,1.0776207165109035
90.0,0.0,9.737500000000004,1.9728660565723806
91.0,0.0,4.0,2.8445551601423507
92.0,0.8200000000000012,5.0,3.8296146435452805
93.0,1.6600000000000024,6.0,4.80640860215054
94.0,2.5200000000000036,7.0,5.765495283018872
95.0,3.400000000000005,8.0,6.745592783505156
96.0,4.300000000000006,9.0,7.7217280453257775
97.0,0.0,9.93,2.6349085794655407
98.0,0.0,9.960000000000012,1.8813086150490745
99.0,0.0,9.940000000000001,1.526373239436619
100.0,0.0,9.680000000000014,1.7019930498773526
101.0,0.0,9.280000000000008,2.5269727592267186
102.0,0.0,5.0,3.2463387096774237
103.0,0.5374999999999961,6.0,4.153685147507629
104.0,0.824999999999994,7.0,5.0556144306651625
105.0,1.1249999999999918,8.0,5.925658866995068
106.0,1.4374999999999898,9.0,6.799443690637714
107.0,0.0,9.98,3.144792003231018
108.0,0.0,9.98,2.208281952472701
109.0,0.0,9.98,2.1789927325581435
110.0,0.0,9.977499999999996,2.0014981995884757
111.0,0.0,9.995000000000005,2.423150702758977
112.0,0.0,9.917500000000004,2.832875067458173
113.0,0.0,9.969999999999986,3.368368945868947
114.0,0.0,9.987499999999986,3.7509393939393907
115.0,0.0,9.987499999999992,4.15735842985843
116.0,0.0,9.98749999999997,4.561061690524874
117.0,0.0,9.854999999999997,2.9003852242744075
118.0,0.0,9.857499999999998,3.127879191059076
119.0,0.0,9.914999999999992,2.739454369869627
120.0,0.0,9.977499999999981,2.837655286865814
121.0,0.0,9.989999999999984,3.1567135922330127
122.0,0.0,9.972500000000004,3.4611961479979736
123.0,0.0,9.939999999999998,3.8637081081081055
124.0,0.0,9.992499999999996,4.142829247434437
125.0,0.0,9.987499999999992,4.577763076923078
126.0,0.0,9.989999999999984,4.821839591567866
