"tick","Min Size","Max Size","Mean Size"
91.0,0.0,9.940000000000007,3.257490297542043
92.0,0.0,5.0,3.453363808322828
93.0,0.33750000000000013,6.0,4.382891483516486
94.0,0.5900000000000007,7.0,5.326985074626865
95.0,0.764999999999999,8.0,6.221280096308182
96.0,0.9649999999999991,9.0,7.163183797909411
97.0,0.0,9.920000000000002,1.4124404356705254
98.0,0.0,9.960000000000012,1.5336100973236002
99.0,0.0,9.900000000000011,2.0767835458409287
100.0,0.0,9.980000000000011,2.7935161188369166
101.0,0.0,9.980000000000011,3.2028573648228664
102.0,0.0,9.96000000000001,3.722461977186312
103.0,0.0,9.82000000000001,4.445035117056842
104.0,0.0,9.9875,5.314851341551846
105.0,0.0,9.864999999999986,5.963520213577426
106.0,0.0,9.857499999999996,6.728691471571911
107.0,0.0,9.98,2.157101252609602
108.0,0.0,9.98,1.7030856011023072
109.0,0.0,9.992499999999994,2.011572553619298
110.0,0.0,9.99,2.2702297430829996
111.0,0.0,9.98,2.567196694214867
112.0,0.0,9.934999999999999,2.9408077970718445
113.0,0.0,9.989999999999984,3.2506318197817645
114.0,0.0,9.929999999999987,3.6133699324324366
115.0,0.0,9.992499999999982,3.9080320411392373
116.0,0.0,9.964999999999979,4.107952657807305
117.0,0.0,9.944999999999979,3.66731012658228
118.0,0.0,9.932499999999987,3.2085556388160383
